Individual	Fischer_region_11.fasta	Fischer_region_13.fasta	Fischer_region_14.fasta	Fischer_region_15.fasta	Fischer_region_16.fasta	Fischer_region_21.fasta	Fischer_region_22.fasta	Fischer_region_25.fasta	Fischer_region_26.fasta	Fischer_region_28.fasta	Fischer_region_29.fasta	Fischer_region_30.fasta
Clara	2	1	1	1	1	1	1	1	3	1	1	1
Kosana	1	1	1	2	1	2	2	2	2	2	1	1
Regina	1	1	1	1	1	1	1	1	1	1	1	1
Louise	1	1	1	1	1	1	1	1	4	1	1	1
Zorba	1	1	1	2	1	2	2	2	2	2	1	1
Yasa	1	1	1	2	1	2	2	2	2	2	1	1
Ulindi	1	1	1	2	1	2	2	2	2	2	1	1
Sandy	1	1	1	2	1	2	2	2	2	2	1	1
Kombate	1	1	1	2	1	2	2	2	2	2	1	1
Joey	1	1	1	2	1	2	2	2	2	2	1	1
Catherine	1	1	1	2	1	2	2	2	2	2	1	1
Bono	1	1	1	2	1	2	2	2	2	2	1	1
Yvonne	1	1	1	1	1	1	1	1	1	1	1	1
Yoran	1	1	1	1	1	1	1	1	1	1	1	1
Sonja	1	1	1	1	1	1	1	1	1	1	1	1
Socrates	1	1	1	1	1	1	1	1	1	1	1	1
Oscar	1	1	1	1	1	1	1	1	1	1	1	1
Marco	1	1	1	1	1	1	1	1	5	1	1	1
Hilko	1	1	1	1	1	1	1	1	1	1	1	1
Frits	1	1	1	1	1	1	1	1	1	1	1	1
Ntoum	1	1	1	1	1	1	1	1	1	1	1	1
Noemie	1	1	1	1	1	1	1	1	1	1	1	1
Moanda	1	1	1	1	1	1	1	1	1	1	1	1
Masuku	1	1	1	1	1	1	1	1	1	1	1	1
Makata	1	1	1	1	1	1	1	1	1	1	1	1
Ivindo	1	1	1	1	1	1	1	1	1	1	1	1
Henri	1	1	1	1	1	1	1	1	1	1	1	1
Dodo	1	1	1	1	1	1	1	1	1	1	1	1
Chiquita	1	1	1	1	1	1	1	1	1	1	1	1
Sultana	1	1	1	1	1	1	1	1	1	1	1	1
Mzee	1	1	1	1	1	1	1	1	1	1	1	1
Mimi	1	1	1	1	1	1	1	1	1	1	1	1
Mary	1	1	1	1	1	1	1	1	1	1	1	1
Judy	1	1	1	1	1	1	1	1	1	1	1	1
Eva	1	1	1	1	1	1	1	1	1	1	1	1
Annie	1	1	1	1	1	1	1	1	1	1	1	1
Amizero	1	1	1	1	1	1	1	1	1	1	1	1
Alley	1	1	1	1	1	1	1	1	1	1	1	1
Akila	1	1	1	1	1	1	1	1	1	1	1	1
	10	10	10	10	10	10	10	10	10	10	10	10
